__Blurryface__,普通用户,广东 深圳,疫情让蛋糕实现了咸蛋黄自由 ?,收藏转发评论 3赞1,02月01日 22:58iPhone客户端
__prefect,普通用户,广东 梅州,#疫情结束后你最想做什么#最想那些辛苦的人们好好好好完完整整的回到家中，休息?? ?,收藏转发评论赞,02月01日 22:59iPhone客户端
_Lucky_ya,普通用户,海外 泰国,2020年让人??…即便如此…还是希望能够有期许的过好自己的人生：期许我来年工作稳定…期许我厨艺得到进步…期许我脾气越来越收…期许做更多自己想做的事…期许做内心那个真正的自己…期许………??最后，希望疫情早日被控制住！一切回归正常，也希望每个人都能健康平安度过最难的这段时间?? 收起全文d,收藏转发评论赞1,02月01日 22:58iPhone客户端
_tong33,普通用户,江西 南昌,这个开局太难了，猪瘟新冠肺炎禽流感，中国加油啊 ?,收藏转发评论赞,02月01日 22:36朱一龙的小笼包
_不争大米争口气_,普通用户,北京 朝阳区,这是我看到友人发在胖圈的，大概相对完整地表达了我对此次新冠的感受吧。从一个相对不发达的国家回来，觉得我们的物质水平科技能力都有了很大的进步，可是精神文明建设真的落后很多。还是那个新年愿望，愿祖国更好！ ?,收藏转发评论赞,02月01日 22:18iPhone
_大圆童森_,普通用户,湖北 武汉,啊，什么时候疫情能结束，什么时候能上班，什么时候能吃喝玩乐带动消费为GDP做贡献啊 ?,收藏转发评论赞,02月01日 22:57iPhone客户端
_栗子汉堡,普通用户,其他,11M26D今天中午和孩子玩了一会儿大米 倒是很感兴趣，跟我坐着玩了十几分钟都很专注，虽然弄得又脏又乱…晚上拜天公 还是祈祷国泰民安希望疫情快快过去春天来了 我们就可以出去玩了 ?,收藏转发评论赞,02月01日 22:58iPhone客户端
_馬爾克斯,普通用户,云南 楚雄,一个疫情，硬生生把自己逼成洁癖，一天洗不少于10次手，吃饭不敢去食堂，口罩从早戴到晚。真的善服大家管住腿也管住嘴。 2楚雄彝族自治州·官屯镇 ?,收藏转发评论赞1,02月01日 22:57iPhone客户端
_我就是矫情鬼,普通用户,内蒙古,想吃九星麻辣烫、想吃火锅、想吃辣嘴鸭、想吃牛板筋。我就想想 我不出门 在家躺着还是很舒服的。我只是想吃辣的了，并不是想上班。但我又希望国家的疫情早点过去。害，我还是睡觉吧 ?,收藏转发评论赞1,02月01日 22:57iPhone客户端
_樱桃K_,普通用户,新疆,#疫情结束后最想吃的东西#拜托拜托，疫情快点结束??我就想去吃一顿酱香浓郁的阿臻米粉几串自然辣子面撒满的烤肉和汤都是香的凉皮，再喝几口夺命大乌苏??还想吃配着皮带面的大盘鸡一个人就能吃半条的烤鱼还有冒着热气的串串救救我这个爱吃的新疆丫头子吧我快馋死在家了 2乌鲁木齐 收起全文d,收藏转发评论 3赞3,02月01日 22:58iPhone客户端
_于莹不是叠字_,普通用户,黑龙江 哈尔滨,K城南花已开-三亩地 刚才通知绥化封城了我不知道绥化是不是武汉以后第二个封城的绥化是一个幸福指数很高的小城市绥化这么小的城市已经封城了说明疫情真的已经很严重了吧刚刚和姑姑视频说了一些绥化的情况我不敢说，我也不敢信，我希望那些是假的昨天我和爸爸回绥化妈妈说一起回去待两天但是因为要测体温考虑到增加医护人员的负担而且还要排队就没有回去2019年考研复试结束之后我觉得一切事物都在向好的方向发展也是我在度过了17和18最低谷之后迎来的完完整整最开心的一年最近心情一直都不好很多事情反反复复的在心里怎么也想不通再加上每天看着疫情人数一直在增加以前那个每天哈哈哈的我突然就不见了我也想开心但是我真的做不到这个世界到底怎么了？原以为2020我会收获很多我会一直开心可是一切的一切都只是我以为你抱有多大希望你就会收获多大的失望原来之前的所有都是一场梦吗？如果是的话我希望这次疫情也是场梦醒来了以后 武汉好好的中国好好的我们身边每个人都好好的现在唯一让我觉得有安全感的地方就是我们一家人在一起期待城南花开 收起全文d,收藏转发评论 1赞6,02月01日 22:58iPhone X
